env_id,regime,method,seed,auc,final_score,wall_hours
reacher-hard,clean,adaptive_rhs,15,829.557,924.15,1.3933
reacher-hard,chaos,paper_horizon,15,0.2925,0.6,3.1108
cup-catch,clean,paper_horizon,1,882.26,976.9,1.9914
reacher-hard,chaos,adaptive_rhs,15,0.28,0.55,3.7353
cup-catch,clean,adaptive_rhs,1,883.255,978.4,2.5622
cup-catch,chaos,paper_horizon,1,724.153,766.75,2.3742
pendulum-swingup,clean,paper_horizon,1,1.765,0,1.2036
cup-catch,chaos,adaptive_rhs,1,740.395,772.15,2.6172
pendulum-swingup,clean,adaptive_rhs,1,1.99,0,1.8219
pendulum-swingup,chaos,paper_horizon,1,32.7675,13.05,1.6619
reacher-hard,clean,paper_horizon,1,852.083,976.2,1.2517
pendulum-swingup,chaos,adaptive_rhs,1,42.9825,44.95,2.1861
reacher-hard,clean,adaptive_rhs,1,847.938,880.2,1.5025
cup-catch,clean,paper_horizon,7,883.532,983.15,2.0178
reacher-hard,chaos,paper_horizon,1,4.9625,0.05,3.1567
cup-catch,clean,adaptive_rhs,7,883.912,982.05,2.3417
reacher-hard,chaos,adaptive_rhs,1,0.1225,0.05,3.6353
pendulum-swingup,clean,paper_horizon,7,764.012,834.35,1.2064
cup-catch,chaos,paper_horizon,7,686.052,929.65,2.4175
pendulum-swingup,clean,adaptive_rhs,7,749.028,829,1.6958
cup-catch,chaos,adaptive_rhs,7,708.835,937.35,2.5792
pendulum-swingup,chaos,paper_horizon,7,26.025,26.55,1.6503
reacher-hard,clean,paper_horizon,7,828.413,932.65,1.2575
reacher-hard,clean,adaptive_rhs,7,835.817,873.05,1.3686
pendulum-swingup,chaos,adaptive_rhs,7,17.75,8.9,2.2636
reacher-hard,chaos,paper_horizon,7,0.1675,0.2,3.1378
reacher-hard,chaos,adaptive_rhs,7,0.1425,0.1,3.2531
