env_id,regime,method,seed,paper_horizon,final_step,final_score,best_score,job_id,wall_hours,checkpoint_ok,run_dir
cheetah-run,chaos,paper_horizon,7,3,500000,515.359,571.627,2078,1.9381,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/chaos/paper_horizon/s7
hopper-hop,clean,paper_horizon,7,3,500000,514.885,574.562,2082,1.7144,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/clean/paper_horizon/s7
cheetah-run,chaos,adaptive_rhs,7,3,500000,595.944,632.229,2081,2.1036,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/chaos/adaptive_rhs/s7
hopper-hop,clean,adaptive_rhs,7,3,500000,469.663,483.656,2083,1.8572,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/clean/adaptive_rhs/s7
hopper-hop,chaos,paper_horizon,7,3,500000,292.399,292.399,2084,2.1378,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/chaos/paper_horizon/s7
finger-turn_hard,clean,paper_horizon,7,3,500000,818.2,971.6,2086,1.5031,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/clean/paper_horizon/s7
finger-turn_hard,clean,adaptive_rhs,7,3,500000,916.95,924.4,2087,1.6036,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/clean/adaptive_rhs/s7
hopper-hop,chaos,adaptive_rhs,7,3,500000,159.09,159.648,2085,2.5819,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/chaos/adaptive_rhs/s7
finger-turn_hard,chaos,paper_horizon,7,3,500000,580.45,778.55,2088,1.9353,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/chaos/paper_horizon/s7
fish-swim,clean,paper_horizon,7,3,500000,723.557,773.738,2090,1.4208,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/fish-swim/clean/paper_horizon/s7
finger-turn_hard,chaos,adaptive_rhs,7,3,500000,838.75,838.75,2089,2.2081,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/chaos/adaptive_rhs/s7
fish-swim,clean,adaptive_rhs,7,3,500000,674.227,749.367,2091,1.5108,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/fish-swim/clean/adaptive_rhs/s7
fish-swim,chaos,paper_horizon,7,3,500000,,,2092,1.8397,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/fish-swim/chaos/paper_horizon/s7
cartpole-swingup,clean,paper_horizon,7,3,500000,878.423,882.838,2094,1.3653,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/clean/paper_horizon/s7
fish-swim,chaos,adaptive_rhs,7,3,500000,,,2093,1.9403,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/fish-swim/chaos/adaptive_rhs/s7
cartpole-swingup,clean,adaptive_rhs,7,3,500000,882.384,882.384,2095,1.6233,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/clean/adaptive_rhs/s7
cartpole-swingup,chaos,paper_horizon,7,3,500000,856.469,859.344,2096,1.7828,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/chaos/paper_horizon/s7
cartpole-swingup,chaos,adaptive_rhs,7,3,500000,861.539,861.539,2097,2.1478,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/chaos/adaptive_rhs/s7
